"ID_Epic","issue_num","assignee","description","timeoriginalestimate","timeestimate","timespent"
"10477","96","JIRAUSER10401","h3. Customer Financial Analysis
 * This tab contains information about customer financial data like balance sheet,income statement and used to calculate different ratios. Financial categories can be added through Customer financial categories tab (see [Customer Financial Category|http://help.fernsoftware.com/index.php/Customer_Financial_Category])

[!http://help.fernsoftware.com/images/thumb/8/85/Loan_CustomerAnalysis.PNG/1000px-Loan_CustomerAnalysis.PNG|width=1000,height=471!|http://help.fernsoftware.com/index.php/File:Loan_CustomerAnalysis.PNG]
||Field||Type||Description||Compulsory?||
||Customer financial Analysis||
||Customer financial Analysis Details:|Currency|Financial Analysis fields that apply to the customer. (see [Customer Financial Category|http://help.fernsoftware.com/index.php/Customer_Financial_Category]) Add financial categories required for customer.|No|
||Excluded Assets:|Currency|assets that excluded from current assets.|No|
||Collateral Amount:|Currency|Amount added as collateral|No|
||Amount applied:|Currency|Loan amount|No|
||Maturity date:|Date|Final payment date|No|
||Loan term:|number|Number of loan terms (tenure)|No|
||Installment amount:|Currency|Repayment amount per loan term|No|
||Ratios||
||Working capital:|Number (calculated)|Current Assets – Current Liabilities|No|
||Gross Margin:|Number (calculated)|1 – (Cost of Goods Sold/Monthly Sales)|No|
||Debt/Equity:|Number (calculated)|(Total Liabilities + Amount Applied) / Equity|No|
||Inventory Turnover:|Number (calculated)|Cost of Goods Sold / Inventory (Inventory 1 + Inventory 2)(Inventory can be marked in Customer financial categories see [Customer Financial Category|http://help.fernsoftware.com/index.php/Customer_Financial_Category])|No|
||Installment Coverage :|Number (calculated)|Instalment Amount / Household Surplus|No|
||Loan Recommendation:|Number (calculated)|Amount Applied / Working Capital|No|
||Guarantor Coverage :|Number (calculated)|Collateral Amount / Amount Applied|No|","28800","0","0"
"10478","97","JIRAUSER10401",NULL,"14400","0","14400"
"10479","98","JIRAUSER10000","# Table de config pour 'Check Guarantor + Collateral'
 # Table de config pour détéreminer le approval level (Based on amount?? TBC with Hatem)
 # Test Unitaire
 # Documentation sur confluence","28800","0","28800"
"10480","99","JIRAUSER10401","Send mail selon type de notification (a suivre [Confluence - notification|http://172.16.4.180:8090/display/WCC/Notifications])

Vérifier la fonctionnalité participants {color:#00875a}*DONE*{color}","28800","0","28800"
"10481","100","JIRAUSER10100",NULL,"28800","0","28800"
"10482","101",NULL,"# Paramétrage- définir les KPI par user (objectifs...)
 # Activer une batch 
 ## Paramétrer les actions possibles","115200","115200",NULL
"10483","102","JIRAUSER10100","# Table de config pour 'Check Guarantor + Collateral'
 # Table de config pour détéreminer le approval level (Based on amount?? TBC with Hatem)
 # Test Unitaire
 # Documentation sur confluence","28800","0","18000"
"10484","103","JIRAUSER10101","Tous les écrans avec chemin de navigation","86400","0","28800"
"10485","19","JIRAUSER10400",NULL,"14400","0","28800"
"10500","20","JIRAUSER10000",NULL,"28800","14400","14400"
"10501","21","JIRAUSER10000",NULL,"28800","0","43200"
"10502","22","JIRAUSER10000",NULL,"14400","0","14400"
"10503","104","JIRAUSER10101",NULL,"14400","0","14400"
"10504","23","JIRAUSER10400",NULL,"14400","0","28800"
"10505","105","JIRAUSER10401","* Service loan process
 * integration dans l'IHM (FE)","43200","0","14400"
"10506","106","JIRAUSER10401","Service 

integration IHM 

 ","14400","0",NULL
"10507","107","JIRAUSER10000",NULL,"28800","0","28800"
"10508","108","JIRAUSER10401","Le serveur de recette:
IP : 172.16.4.184
Mot de passe : root / T*****
Mot de passe : tdev / T*****","7200","0","7200"
"10509","109","JIRAUSER10401","[http://localhost:8093/load-data-abacus/financial-analysis/178]
{
        ""currentAssets"": 0.000000,
        ""fixedAssets"": 0.000000,
        ""assets"": 0.000000,
        ""currentLiabilities"": 0.000000,
        ""fixedLiabilities"": 0.000000,
        ""totalLiabilities"": 0.000000,
        ""equity"": 0.000000,
        ""monthlySales"": 0.000000,
        ""cotsOfGoodSold"": 0.000000,
        ""grossProfit"": 0.000000,
        ""monthlyExpense"": 0.000000,
        ""netProfit"": 0.000000,
        ""otherIncome"": 0.000000,
        ""familyExpense"": 0.000000,
        ""householdSurplus"": 0.000000,
        ""excludedAssets"": 0.0000,
        ""collateralAmount"": 0.0000,
        ""applyAmountTotal"": 1000.0000,
        ""maturityDate"": ""2015-09-01"",
        ""loanTerm"": 12,
        ""installement"": 93.6700,
        ""workingCapital"": 0.000000,
        ""grossMargin"": 0.000000,
        ""debtEquity"": 0.000000,
        ""inventoryTurnover"": 0.000000,
        ""installmentCoverage"": 0E-17,
        ""loanRecommendation"": 0E-17,
        ""guarantorCoverage"": 0.0000
    }","28800","0","21600"
"10510","110","JIRAUSER10100",NULL,"28800","0",NULL
"10511","111","JIRAUSER10100",NULL,"3600","0","28800"
"10512","112","JIRAUSER10101",NULL,"14400","0",NULL
"10513","113","JIRAUSER10101",NULL,"28800","0","10800"
"10514","114","JIRAUSER10100","Cusomer Photo + Name + KPI + button (More...)

When we click on the button : display the client info ","21600","0","18000"
"10515","115","JIRAUSER10401",NULL,"7200","0","7200"
"10516","116","JIRAUSER10100",NULL,"3600","0","3600"
"10517","117","JIRAUSER10401","Service 

integration IHM 

 ","57600","0","14400"
"10518","118","JIRAUSER10000",NULL,"14400","0","7200"
"10519","119","JIRAUSER10100","* Enlever calendrier et le menu a droite
 * Minimiser l'espace dans dashboard
 * Ajouter tab Review
 * Ajouter la date du jour en dessous de ""My Dashboard""","3600","0","3600"
"10520","120","JIRAUSER10401",NULL,"28800","0","43200"
"10521","121","JIRAUSER10100",NULL,"28800","0","28800"
"10522","122","JIRAUSER10000","Average arrears days

Number arriears schedules","14400","0","50400"
"10523","123","JIRAUSER10101",NULL,"14400","0","7200"
"10524","124","JIRAUSER10101",NULL,"14400","0","10800"
"10525","125","JIRAUSER10100",NULL,"28800","0","28800"
"10526","126",NULL,"* Motif de rejet","28800","0",NULL
"10527","127","JIRAUSER10401","* Reject reason 
 * Dévelopepr les actions","14400","0",NULL
"10528","128","JIRAUSER10401","* Decline reason
 * Développer les actions","28800","0","7200"
"10529","129","JIRAUSER10600",NULL,"28800","0","21600"
"10530","130","JIRAUSER10100",NULL,"57600","0","57600"
"10531","131","JIRAUSER10501",NULL,"14400","0","43200"
"10532","132","JIRAUSER10501",NULL,"14400","0","14400"
"10534","134",NULL,NULL,"288000","288000",NULL
"10536","136",NULL,NULL,"28800","28800",NULL
"10537","137",NULL,NULL,"28800","28800",NULL
"10539","139","JIRAUSER10100","|-- add new user|
|-- enable/disable user|
|-- update mail / nom / prénom|
|-- affectation to Group|
|-- Password|
|-- Language|
|-- Notification|","57600","57600",NULL
"10540","140","JIRAUSER10101",NULL,"7200","0","7200"
"10541","141","JIRAUSER10101",NULL,"7200","0","7200"
"10542","142","JIRAUSER10101",NULL,"7200","0","7200"
"10543","143","JIRAUSER10401",NULL,"0","0","7200"
"10544","144","JIRAUSER10501",NULL,"28800","0","28800"
"10545","145","JIRAUSER10501",NULL,"28800","0","28800"
"10546","146",NULL,NULL,"28800","28800",NULL
"10547","147","JIRAUSER10501","Permettre la réassignation d'une application

changer le OWNER de la tâche

A définir par [~soumaya.barkallah]:
 * à qui on peut assigner
 * modification IHM","43200","0","21600"
"10548","148","JIRAUSER10600",NULL,"28800","0","72000"
"10550","150",NULL,NULL,"28800","28800",NULL
"10552","152","JIRAUSER10501","* Setting BE
 * Batch 
 * MAJ status application
 * Notification avec email
 * MAJ FE","86400","0","28800"
"10553","153",NULL,NULL,"86400","86400",NULL
"10554","154",NULL,NULL,"14400","0",NULL
"10555","155","JIRAUSER10101",NULL,"28800","0","14400"
"10556","24","JIRAUSER10400",NULL,"86400","0","129600"
"10557","156","JIRAUSER10401",NULL,"0","0",NULL
"10558","157","JIRAUSER10401"," 

 ","28800","0","14400"
"10559","158","JIRAUSER10501","L'agent fait parite de l'agence

 ","43200","0","79200"
"10560","159","JIRAUSER10100","display visit reports (history) and when the user clicks on a version open a popup","43200","0","43200"
"10561","160","JIRAUSER10401",NULL,"14400","0","14400"
"10562","161","JIRAUSER10401","* Approver should be able to update the approved amount
 * {color:#de350b}Popup afficher le champs pour updater le montant a approver avec bouton calculer (consommer les API juste niveau ACM){color}
 ** {color:#de350b}Loan amount{color}
 ** {color:#de350b}Monthly installment{color}
 ** {color:#de350b}Duration{color}
 *** {color:#de350b}Save to ACM{color}
 * When the loan will be approved, then send the new schedule to Abacus

 ","0","0","28800"
"10563","162","JIRAUSER10401","Review tab: ordre comme décrit dans les specs

Template : [http://172.16.4.180:8090/display/WCC/QA-+My+Dashboard]

 

!image-2020-04-13-18-21-58-691.png|width=895,height=457!

 ","14400","0","3600"
"10564","163","JIRAUSER10100","* Amount format (à confirmer) 
 * Status couleur 
 * Progress Bar  ","14400","0",NULL
"10565","164","JIRAUSER10100","à ajouté comme décrit dans le doc d'analyse","7200","0","7200"
"10600","165","JIRAUSER10101",NULL,"7200","0","3600"
"10601","166","JIRAUSER10101",NULL,"10800","0","7200"
"10602","167","JIRAUSER10401",NULL,"3600","0","3600"
"10603","168","JIRAUSER10401",NULL,"28800","0","14400"
"10700","169","JIRAUSER10401",NULL,"7200","0","14400"
"10701","170","JIRAUSER10000",NULL,"21600","0","21600"
"10702","25","JIRAUSER10000",NULL,"86400","21600","64800"
"10703","26","JIRAUSER10000",NULL,"14400","0","14400"
"10704","171","JIRAUSER10401","Serveur alfresco ged : 172.16.4.185","28800","0","28800"
"10705","172","JIRAUSER10401","[~soumaya.barkallah], [~Hatem.Dhahri] , [~Yesser.Somai], [~Abdelkarim]

Liste des REST mis en place dans le micro-service ""*ged-service*"" afin de communiquer avec le GED :
 # Recherche par un Tag :
 ** *[http://localhost:8080/ged-service/documents/find/CIN*]
 ** *CIN* : exemple de tags a passer comme param
 ** Requete : *GET*
 # Recherche par un e liste des tags + choix de limité le nombre des documents récupéré 

 * 
 ** [*http://localhost:8080/ged-service/documents/find-by-tags*]
 ** a passer comme paramètre un objet JSON : Exemple : * \{ ""all"":""true"", ""tags"":[""CIN""]}
 ** Requete *: POST*

 # Recherche document by ID (id dans le GED)
 ** [*http://localhost:8080/ged-service/documents/document/**10e9bbd7-eccc-41ab-b7b7-5585c715232d*]
 ** [10e9bbd7-eccc-41ab-b7b7-5585c715232d|http://localhost:8080/ged-service/documents/document/10e9bbd7-eccc-41ab-b7b7-5585c715232d] : ID d'une document dans le GED (exemple de test)
 ** Requete : *GET*
 # Display doc by given ID : REST qui retourne le document recuperé du GED sous format byte[] => Exemple d’utilisation : pour visualiser un document 
 ** [*http://localhost:8080/ged-service/documents/display/10e9bbd7-eccc-41ab-b7b7-5585c715232d*]
 ** Requete : *GET*
 # Check Document by ID
 ** [*http://localhost:8080/ged-service/documents/isExist/10e9bbd7-eccc-41ab-b7b7-5585c715232d*]
 ** check si le document avec l'ID passer en param existe dans le GED ou pas
 ** Requete : *GET*
 # Delete Document by ID
 ** *[http://localhost:8080/ged-service/documents/10e9bbd7-eccc-41ab-b7b7-5585c715232d]*
 ** Requete : *DELETE*
 # upload liste des documents
 ** [*http://localhost:8080/ged-service/documents/upload-ged*]
 ** la liste des documents de type *java.io.File*
 ** Requete : *POST*
 # upload liste des documents ""multipart"" + tags + path de stockage dans le GED
 ** [*http://localhost:8080/ged-service/documents/*]
 ** paramètres :
 ### List<org.springframework.web.multipart.MultipartFile> files  
 ### List<String> tags
 ### String pathGED
 ** Requete : *POST*

 ","28800","0","21600"
"10706","173","JIRAUSER10501",NULL,"14400","0","14400"
"10707","174","JIRAUSER10501",NULL,"7200","0","7200"
"10708","175","JIRAUSER10501",NULL,"7200","0","7200"
"10709","176","JIRAUSER10100","Add planned visit date in the history table","3600","0","3600"
"10710","177","JIRAUSER10401",NULL,"14400","0","14400"
"10711","178","JIRAUSER10401",NULL,"7200","0","7200"
"10712","179","JIRAUSER10401",NULL,"7200","0","7200"
"10713","180","JIRAUSER10401",NULL,"14400","0","7200"
"10714","181","JIRAUSER10100"," 
 * Age {color:#ff0000}missing{color}
 * Registered on: Date that the customer joined the organisation {color:#ff0000}missing{color}
 * KIPs {color:#ff0000}missing + color green instead of yellow{color}
 * other info to be added?","14400","14400",NULL
"10715","182","JIRAUSER10401","Change Loan Details with Loan Application Details

Traduction Solde --> Balance

Missing currency

 ","3600","0","7200"
"10716","183","JIRAUSER10401","# Update the component name: Customer Account{color:#ff0000}s {color}
 # Change the ""+"" and ""-"" with colored icons
 #  Translate Solde (Balance) and Statut (Status) 
 #  remove the number in the status (1:APPLIED) 
 # The status in the detailed view is not correct (0) ","21600","0","10800"
"10717","184","JIRAUSER10401","The process is not correct and the status in the screen too.","7200","0",NULL
"10718","185","JIRAUSER10501","Please refer to the screen.

Same for Collateral screen","14400","0","14400"
"10719","186","JIRAUSER10100","When an application has not FV report, the screen is working correctly.

When an application has an existing FV Report:
 * The save is not working
 * The  text and the comment are empty
 * the screen is not working well","28800","0","36000"
"10720","187","JIRAUSER10401","Screen initial check (see screenshot) : status is wrong

All the remaining screens : the process is on blocked on initial check","3600","0","3600"
"10721","188","JIRAUSER10401",NULL,"7200","0","10800"
"10722","189","JIRAUSER10600",NULL,"14400","0",NULL
"10723","190","JIRAUSER10101",NULL,"1800","0","3600"
"10725","192","JIRAUSER10100","* Agrandir la police des statuts
 * ajouter de l'espacement entre les statuts
 * changer Awaiting Approval par Pending Approval","7200","0","32400"
"10726","193","JIRAUSER10401","Mettre en place le moteur de workflow (avancement des statuts...)

+ Histo loan

 ","28800","0","39600"
"10727","194","JIRAUSER10401",NULL,"14400","0","14400"
"10728","195","JIRAUSER10501","écran My tasks à finaliser 

BE

FE","57600","0","57600"
"10729","196","JIRAUSER10501","Finaliser l'écran my calendar, refaire le popup add event 

ajouter cuser ACM to appointment","28800","0","86400"
"10730","197","JIRAUSER10100",NULL,"28800","0","36000"
"10731","198","JIRAUSER10401","[page confluence : Initial Check|http://172.16.4.180:8090/display/WCC/Initial+Check]

Cancel

Next

Reject","57600","0","21600"
"10732","199","JIRAUSER10401","Prepare all the structure for the workflow actions
 ","28800","0","21600"
"10733","200","JIRAUSER10401"," 
 ","28800","0","7200"
"10734","201","JIRAUSER10401",NULL,"28800","0","7200"
"10735","202","JIRAUSER10100"," Upload documents

 Check Required Docs","14400","0","39600"
"10736","203","JIRAUSER10401"," ","14400","0","3600"
"10737","204","JIRAUSER10501","Check approval level

Check L1

Check L2

Check L3

Check L4","72000","0","72000"
"10738","205","JIRAUSER10501","Dont forger to save in the customer notes histo

 ","57600","0","57600"
"10739","206","JIRAUSER10401","-création table

-développement des méthodes des boutons

 ","14400","0","14400"
"10740","207","JIRAUSER10100",NULL,"21600","0","21600"
"10741","208","JIRAUSER10100",NULL,"14400","0","14400"
"10742","209","JIRAUSER10600","Only view option","3600","0","21600"
"10743","210","JIRAUSER10501","Add hover on liabilities

BE/FE ( remove hardcoded values)

undifined ???

formatage nombre decimal

 

 ","14400","0","14400"
"10744","211",NULL,NULL,"28800","28800",NULL
"10745","212","JIRAUSER10000","Create table (voir motif rejet)

create service

Remove hardcoded

 ","14400","0","28800"
"10746","213","JIRAUSER10000","Bonjour [~Haythem.Benizid] ,

Le script ACM-170_Updated.sql contient la mise à jour du script fournie dans le ticket ACM-170.

J'ai changé le status de l'échéance pour obtenir (Payé,Payé partiellement, non payé)

 ","14400","0","7200"
"10747","214","JIRAUSER10600",NULL,"28800","0","28800"
"10748","215","JIRAUSER10501","* depuis les loan application dans ACM
 * composant front ( a valider avec yesser)
 * dev BE (methode de recherche) ","57600","0","57600"
"10749","216","JIRAUSER10600","search loans 

account number

if customer not null","28800","0","28800"
"10750","217","JIRAUSER10401","* ajouter status (update DB)
 * développement des action des 3 boutons

 ","14400","0","14400"
"10751","218","JIRAUSER10501",NULL,"28800","0","14400"
"10752","219","JIRAUSER10501",NULL,"14400","0","14400"
"10753","220","JIRAUSER10401","* check guarantor collateral
 * check Document
 * check information loan","57600","0","43200"
"10754","221","JIRAUSER10100",NULL,"57600","0","36000"
"10755","222","JIRAUSER10600",NULL,"28800","0","28800"
"10756","223","JIRAUSER10401","ALTER TABLE ACM_LOAN ADD PRODUCT_ID INT NULL ;","3600","0","3600"
"10757","224","JIRAUSER10000","VOIR TABLEAU ACM-190

ALTER TABLE Existante ACM_SETTING_DOCS

Add table DOC_TYPE

 ","7200","0","3600"
"10800","225","JIRAUSER10401","* update les modeles / DTO
 * création services REST des nouveaux tables (a voir avec [~soumaya.barkallah])
 * configuration & utilisation des tables de settings","28800","0","0"
"10804","229","JIRAUSER10401","@Entity
@Table(name = ""ACM_DOCUMENTS"")
public class AcmDocuments","7200","0","28800"
"10805","230","JIRAUSER10401","See ACM-224

---------------

@Entity
@Table(name = ""ACM_PRODUCT"")
public class Product

---------------

@Entity
@Table(name = ""ACM_SETTING_DOC_PRODUCT"")
public class SettingDocumentProduct

---------------

@Entity
@Table(name = ""ACM_SETTING_DOC_TYPE"")
public class SettingDocumentType ","14400","0","28800"
"10806","231","JIRAUSER10401",NULL,"14400","0","25200"
"10807","232","JIRAUSER10600","Créer les services back-end (setting)

sauvgarder les documents clients

Connecter BE/FE

Ajouter le boutons (+ Add New)

Save & Quit à renommer à Save et changer l'action, ne pas sortir de l'écran

Visualize all types of documents

 ","57600","0","115200"
"10808","233","JIRAUSER10501",NULL,"14400","0","43200"
"10809","234","JIRAUSER10401",NULL,"57600","28800","28800"
"10810","235","JIRAUSER10401",NULL,"14400","0","21600"
"10811","236","JIRAUSER10401","Installation + mise en place (sonar + bamboo)

 ","72000","0","79200"
"10812","27","JIRAUSER10400",NULL,"14400","0","14400"
"10813","28","JIRAUSER10000",NULL,"28800","28800",NULL
"10814","237","JIRAUSER10100","filtre columns a remettre sous es titles

Awaiing Approval - Renommer Pending Approval

Center statuses tabs","14400","0","7440"
"10815","238","JIRAUSER10100","* Age (year old)
 * Telephone (tel1|tel2|tel3)
 * Ajout icon +
 * Customer Info collapsed for all the screens except Initial check
 * Traduction à verifier","43200","0","21600"
"10816","239","JIRAUSER10600","Tableaux approval + customer decision history (consommation BE) 

Add schedule component (Collapsed)","14400","0","14400"
"10817","240",NULL,NULL,"57600","57600",NULL
"10818","241","JIRAUSER10501","Update functionality

Delete functionality (calendar)

 ","28800","0","28800"
"10819","242","JIRAUSER10100","[~soumaya.barkallah]

Fait par Amine missaoui (dqlick)","28800","0","36000"
"10820","243","JIRAUSER10600","Tous les composant doivent etre parametrables ayant une valeur par defaut","14400","0","14400"
"10821","244","JIRAUSER10501",NULL,"57600","0","115200"
